Class1,Class2,Count,emg1,emg2,old_emg1,Old_emg2
Thumb,Flick,6,0.76,0.58,0.36,0.80
Thumb,Flick,7,0.76,1.00,0.36,0.58
Thumb,Flick,8,0.64,1.00,0.76,0.58
Thumb,Flick,9,0.64,0.78,0.76,1.00
Thumb,Flick,10,0.38,0.78,0.64,1.00
Thumb,Flick,1,0.38,0.50,0.64,0.78
Thumb,Flick,2,0.36,0.50,0.38,0.78
Thumb,Flick,3,0.32,0.34,0.36,0.50
Thumb,Flick,4,0.73,0.34,0.32,0.50
Thumb,Flick,5,0.73,0.72,0.32,0.34
Thumb,Flick,6,1.30,0.72,0.73,0.34
Thumb,Flick,7,1.30,2.19,0.73,0.72
Thumb,Flick,8,0.75,2.19,1.30,0.72
Thumb,Flick,9,0.75,1.18,1.30,2.19
Thumb,Flick,10,0.51,1.18,0.75,2.19
Thumb,Flick,1,0.51,0.76,0.75,1.18
Thumb,Flick,2,0.43,0.76,0.51,1.18
Thumb,Flick,3,0.43,0.42,0.51,0.76
Thumb,Flick,4,1.02,0.42,0.43,0.76
Thumb,Flick,5,1.02,1.37,0.43,0.42
Thumb,Flick,6,0.66,1.37,1.02,0.42
Thumb,Flick,7,0.66,0.88,1.02,1.37
Thumb,Flick,8,0.37,0.88,0.66,1.37
Thumb,Flick,9,0.37,0.56,0.66,0.88
Thumb,Flick,10,0.34,0.56,0.37,0.88
Thumb,Flick,1,0.34,0.49,0.37,0.56
Thumb,Flick,2,0.52,0.49,0.34,0.56
Thumb,Flick,3,0.52,0.71,0.34,0.49
Thumb,Flick,4,0.46,0.71,0.52,0.49
Thumb,Flick,5,0.46,0.45,0.52,0.71
Thumb,Flick,6,1.37,0.45,0.46,0.71
Thumb,Flick,7,1.37,1.98,0.46,0.45
Thumb,Flick,8,0.66,1.98,1.37,0.45
Thumb,Flick,9,0.66,1.02,1.37,1.98
Thumb,Flick,10,0.45,1.02,0.66,1.98
Thumb,Flick,1,0.45,0.63,0.66,1.02
Thumb,Flick,2,0.33,0.63,0.45,1.02
Thumb,Flick,3,0.33,0.56,0.45,0.63
Thumb,Flick,4,0.31,0.56,0.33,0.63
Thumb,Flick,5,0.31,0.48,0.33,0.56
Thumb,Flick,6,0.78,0.48,0.31,0.56
Thumb,Flick,7,0.78,1.31,0.31,0.48
Thumb,Flick,8,0.56,1.31,0.78,0.48
Thumb,Flick,9,0.56,0.87,0.78,1.31
Thumb,Flick,10,0.42,0.87,0.56,1.31
Thumb,Flick,1,0.42,0.62,0.56,0.87
Thumb,Flick,2,0.44,0.62,0.42,0.87
Thumb,Flick,3,0.44,0.69,0.42,0.62
Thumb,Flick,4,0.78,0.69,0.44,0.62
Thumb,Flick,5,0.78,1.13,0.44,0.69
Thumb,Flick,6,1.12,1.13,0.78,0.69
Thumb,Flick,7,1.12,1.72,0.78,1.13
Thumb,Flick,8,0.87,1.72,1.12,1.13
Thumb,Flick,9,0.87,1.26,1.12,1.72
Thumb,Flick,10,1.50,1.26,0.87,1.72
Thumb,Flick,1,1.50,2.30,0.87,1.26
Thumb,Flick,2,0.85,2.30,1.50,1.26
Thumb,Flick,3,0.85,1.41,1.50,2.30
Thumb,Flick,4,0.89,1.41,0.85,2.30
Thumb,Flick,5,0.89,1.33,0.85,1.41
Thumb,Flick,6,0.65,1.33,0.89,1.41
Thumb,Flick,7,0.65,1.04,0.89,1.33
Thumb,Flick,8,0.50,1.04,0.65,1.33
Thumb,Flick,9,0.50,0.76,0.65,1.04
Thumb,Flick,10,0.49,0.76,0.50,1.04
Thumb,Flick,1,0.49,0.62,0.50,0.76
Thumb,Flick,2,0.48,0.62,0.49,0.76
Thumb,Flick,3,0.48,0.57,0.49,0.62
Thumb,Flick,4,0.45,0.57,0.48,0.62
Thumb,Flick,5,0.45,0.58,0.48,0.57
Thumb,Flick,6,0.31,0.58,0.45,0.57
Thumb,Flick,7,0.31,0.44,0.45,0.58
Thumb,Flick,8,0.43,0.41,0.31,0.44
Thumb,Flick,9,0.43,0.57,0.31,0.41
Thumb,Flick,10,0.60,0.57,0.43,0.41
Thumb,Flick,1,0.60,0.88,0.43,0.57
Thumb,Flick,2,0.88,0.88,0.60,0.57
Thumb,Flick,3,0.88,1.45,0.60,0.88
Thumb,Flick,4,0.68,1.45,0.88,0.88
Thumb,Flick,5,0.68,0.90,0.88,1.45
Thumb,Flick,6,0.75,0.90,0.68,1.45
Thumb,Flick,7,0.75,1.27,0.68,0.90
Thumb,Flick,8,2.08,1.27,0.75,0.90
Thumb,Flick,9,2.08,2.98,0.75,1.27
Thumb,Flick,10,1.78,2.98,2.08,1.27
Thumb,Flick,1,1.78,2.97,2.08,2.98
Thumb,Flick,2,1.49,2.97,1.78,2.98
Thumb,Flick,3,1.49,2.67,1.78,2.97
Thumb,Flick,4,1.32,2.67,1.49,2.97
Thumb,Flick,5,1.32,2.04,1.49,2.67
Thumb,Flick,6,1.07,2.04,1.32,2.67
Thumb,Flick,7,1.07,1.72,1.32,2.04
Thumb,Flick,8,0.82,1.72,1.07,2.04
Thumb,Flick,9,0.82,1.35,1.07,1.72
Thumb,Flick,10,0.86,1.35,0.82,1.72
Thumb,Flick,1,0.86,1.24,0.82,1.35
Thumb,Flick,2,0.75,1.24,0.86,1.35
Thumb,Flick,3,0.75,1.10,0.86,1.24
Thumb,Flick,4,0.77,1.10,0.75,1.24
Thumb,Flick,5,0.77,1.24,0.75,1.10
Thumb,Flick,6,1.05,1.24,0.77,1.10
Thumb,Flick,7,1.05,1.73,0.77,1.24
Thumb,Flick,8,1.24,1.73,1.05,1.24
Thumb,Flick,9,1.24,1.96,1.05,1.73
Thumb,Flick,10,1.09,1.96,1.24,1.73
Thumb,Flick,1,1.09,1.44,1.24,1.96
Thumb,Flick,2,0.96,1.44,1.09,1.96
Thumb,Flick,3,0.96,1.47,1.09,1.44
Thumb,Flick,4,1.15,1.47,0.96,1.44
Thumb,Flick,5,1.15,1.83,0.96,1.47
Thumb,Flick,6,0.92,1.83,1.15,1.47
Thumb,Flick,7,0.92,1.48,1.15,1.83
Thumb,Flick,8,1.48,1.48,0.92,1.83
Thumb,Flick,9,1.48,2.44,0.92,1.48
Thumb,Flick,10,1.17,2.44,1.48,1.48
Thumb,Flick,1,1.17,1.76,1.48,2.44
Thumb,Flick,2,0.87,1.76,1.17,2.44
Thumb,Flick,3,0.87,1.36,1.17,1.76
Thumb,Flick,4,0.59,1.36,0.87,1.76
Thumb,Flick,5,0.59,1.02,0.87,1.36
Thumb,Flick,6,0.75,1.02,0.59,1.36
Thumb,Flick,7,0.75,0.97,0.59,1.02
Thumb,Flick,8,0.64,0.97,0.75,1.02
Thumb,Flick,9,0.64,0.73,0.75,0.97
Thumb,Flick,10,0.62,0.73,0.64,0.97
Thumb,Flick,1,0.62,0.59,0.64,0.73
Thumb,Flick,2,0.65,0.59,0.62,0.73
Thumb,Flick,3,0.65,0.68,0.62,0.59
Thumb,Flick,4,0.76,0.68,0.65,0.59
Thumb,Flick,5,0.76,0.98,0.65,0.68
Thumb,Flick,6,0.61,0.98,0.76,0.68
Thumb,Flick,7,0.61,0.81,0.76,0.98
Thumb,Flick,8,0.59,0.81,0.61,0.98
Thumb,Flick,9,0.59,0.77,0.61,0.81
Thumb,Flick,10,0.64,0.77,0.59,0.81
Thumb,Flick,1,0.64,0.81,0.59,0.77
Thumb,Flick,2,1.01,0.81,0.64,0.77
Thumb,Flick,3,1.01,1.47,0.64,0.81
Thumb,Flick,4,1.35,1.47,1.01,0.81
Thumb,Flick,5,1.35,2.02,1.01,1.47
Thumb,Flick,6,1.17,2.02,1.35,1.47
Thumb,Flick,7,1.17,1.92,1.35,2.02
Thumb,Flick,8,1.02,1.92,1.17,2.02
Thumb,Flick,9,1.02,1.78,1.17,1.92
Thumb,Flick,10,1.37,1.78,1.02,1.92
Thumb,Flick,1,1.37,2.27,1.02,1.78
Thumb,Flick,2,1.73,2.27,1.37,1.78
Thumb,Flick,3,1.73,2.92,1.37,2.27
Thumb,Flick,4,1.47,2.92,1.73,2.27
Thumb,Flick,5,1.47,2.42,1.73,2.92
Thumb,Flick,6,1.31,2.42,1.47,2.92
Thumb,Flick,7,1.31,1.87,1.47,2.42
Thumb,Flick,8,1.10,1.87,1.31,2.42
Thumb,Flick,9,1.10,1.60,1.31,1.87
Thumb,Flick,10,0.99,1.60,1.10,1.87
Thumb,Flick,1,0.99,1.54,1.10,1.60
Thumb,Flick,2,0.87,1.54,0.99,1.60
Thumb,Flick,3,0.87,1.02,0.99,1.54
Thumb,Flick,4,0.83,1.02,0.87,1.54
Thumb,Flick,5,0.83,1.26,0.87,1.02
Thumb,Flick,6,0.87,1.26,0.83,1.02
Thumb,Flick,7,0.87,1.11,0.83,1.26
Thumb,Flick,8,0.93,1.11,0.87,1.26
Thumb,Flick,9,0.93,1.45,0.87,1.11
Thumb,Flick,10,1.78,1.45,0.93,1.11
Thumb,Flick,1,1.78,2.85,0.93,1.45
Thumb,Flick,2,1.50,2.85,1.78,1.45
Thumb,Flick,3,1.50,2.45,1.78,2.85
Thumb,Flick,4,1.66,2.45,1.50,2.85
Thumb,Flick,5,1.66,2.83,1.50,2.45
Thumb,Flick,6,1.39,2.83,1.66,2.45
Thumb,Flick,7,1.39,2.32,1.66,2.83
Thumb,Flick,8,1.28,2.32,1.39,2.83
Thumb,Flick,9,1.28,2.19,1.39,2.32
Thumb,Flick,10,1.09,2.19,1.28,2.32
Thumb,Flick,1,1.09,1.89,1.28,2.19
Thumb,Flick,2,0.91,1.89,1.09,2.19
Thumb,Flick,3,0.91,1.61,1.09,1.89
Thumb,Flick,4,0.65,1.61,0.91,1.89
Thumb,Flick,5,0.65,1.24,0.91,1.61
Thumb,Flick,6,0.45,1.24,0.65,1.61
Thumb,Flick,7,0.45,1.09,0.65,1.24
Thumb,Flick,8,0.32,1.09,0.45,1.24
Thumb,Flick,9,0.32,0.87,0.45,1.09
Thumb,Flick,10,0.27,0.87,0.32,1.09
Thumb,Flick,1,0.27,0.61,0.32,0.87
Thumb,Flick,2,0.30,0.61,0.27,0.87
Thumb,Flick,3,0.30,0.44,0.27,0.61
Thumb,Flick,4,0.27,0.44,0.30,0.61
Thumb,Flick,5,0.27,0.34,0.30,0.44
Thumb,Flick,6,0.23,0.34,0.27,0.44
Thumb,Flick,7,0.23,0.29,0.27,0.34
Thumb,Flick,8,0.25,0.29,0.23,0.34
Thumb,Flick,9,0.25,0.28,0.23,0.29
Thumb,Flick,10,0.28,0.28,0.25,0.29
Thumb,Flick,1,0.28,0.23,0.25,0.28
Thumb,Flick,2,0.24,0.23,0.28,0.28
Thumb,Flick,3,0.24,0.22,0.28,0.23
Thumb,Flick,4,0.29,0.22,0.24,0.23
Thumb,Flick,5,0.31,0.24,0.29,0.22
Thumb,Flick,6,0.31,0.26,0.29,0.24
Thumb,Flick,7,0.32,0.26,0.31,0.24
Thumb,Flick,8,0.32,0.23,0.31,0.26
Thumb,Flick,9,0.31,0.25,0.32,0.23
Thumb,Flick,10,0.31,0.26,0.32,0.25
Thumb,Flick,1,0.30,0.27,0.31,0.26
Thumb,Flick,2,0.31,0.32,0.30,0.27
Thumb,Flick,3,0.31,0.29,0.30,0.32
Thumb,Flick,4,0.31,0.29,0.31,0.32
Index,Up,1,0.23,0.15,0,0
Index,Up,2,0.22,0.15,0.23,0
Index,Up,3,0.21,0.16,0.22,0.15
Index,Up,4,0.22,0.16,0.21,0.15
Index,Up,5,0.22,0.15,0.21,0.16
Index,Up,6,0.23,0.15,0.22,0.16
Index,Up,7,0.23,0.17,0.22,0.15
Index,Up,8,0.22,0.19,0.23,0.18
Index,Up,9,0.22,0.20,0.23,0.19
Index,Up,10,0.21,0.20,0.22,0.19
Index,Up,1,0.21,0.21,0.22,0.20
Index,Up,2,0.23,0.21,0.21,0.20
Index,Up,3,0.23,0.22,0.21,0.21
Index,Up,4,0.25,0.22,0.23,0.21
Index,Up,5,0.26,0.23,0.25,0.22
Index,Up,6,0.31,0.23,0.26,0.22
Index,Up,7,0.31,0.26,0.26,0.23
Index,Up,8,0.47,0.26,0.31,0.23
Index,Up,9,0.47,0.25,0.31,0.26
Index,Up,10,0.45,0.25,0.47,0.26
Index,Up,1,0.45,0.22,0.47,0.25
Index,Up,2,0.44,0.22,0.45,0.25
Index,Up,3,0.53,0.23,0.44,0.22
Index,Up,4,0.51,0.23,0.53,0.31
Index,Up,5,0.51,0.27,0.53,0.23
Index,Up,6,0.71,0.27,0.51,0.23
Index,Up,7,0.71,0.45,0.51,0.27
Index,Up,8,0.44,0.45,0.71,0.27
Index,Up,9,0.44,0.25,0.71,0.45
Index,Up,10,0.36,0.25,0.44,0.45
Index,Up,1,0.36,0.33,0.44,0.25
Index,Up,2,0.27,0.33,0.36,0.25
Index,Up,3,0.27,0.29,0.36,0.33
Index,Up,4,0.34,0.29,0.27,0.33
Index,Up,5,0.34,0.44,0.27,0.29
Index,Up,6,0.30,0.44,0.34,0.29
Index,Up,7,0.30,0.40,0.34,0.44
Index,Up,8,0.38,0.40,0.30,0.44
Index,Up,9,0.38,0.41,0.30,0.40
Index,Up,10,0.43,0.41,0.38,0.40
Index,Up,1,0.43,0.31,0.38,0.41
Index,Up,2,0.50,0.31,0.43,0.41
Index,Up,3,0.50,0.40,0.43,0.31
Index,Up,4,0.42,0.40,0.50,0.31
Index,Up,5,0.42,0.55,0.50,0.40
Index,Up,6,0.31,0.55,0.42,0.40
Index,Up,7,0.31,0.30,0.42,0.55
Index,Up,8,0.24,0.30,0.31,0.55
Index,Up,9,0.24,0.35,0.31,0.30
Index,Up,10,0.29,0.35,0.24,0.30
Index,Up,1,0.29,0.33,0.24,0.35
Index,Up,2,0.34,0.33,0.29,0.35
Index,Up,3,0.34,0.29,0.29,0.33
Index,Up,4,0.38,0.29,0.34,0.33
Index,Up,5,0.38,0.24,0.34,0.29
Index,Up,6,0.50,0.24,0.38,0.29
Index,Up,7,0.50,0.27,0.38,0.24
Index,Up,8,0.47,0.27,0.50,0.24
Index,Up,9,0.47,0.29,0.50,0.27
Index,Up,10,0.40,0.29,0.47,0.27
Index,Up,1,0.40,0.26,0.47,0.29
Index,Up,2,0.39,0.26,0.40,0.29
Index,Up,3,0.39,0.29,0.40,0.26
Index,Up,4,1.38,0.29,0.39,0.26
Index,Up,5,1.38,0.72,0.39,0.29
Index,Up,6,1.46,0.72,1.38,0.29
Index,Up,7,1.46,0.86,1.38,0.72
Index,Up,8,1.86,0.86,1.46,0.72
Index,Up,9,1.86,0.92,1.46,0.86
Index,Up,10,1.36,0.92,1.86,0.86
Index,Up,1,1.36,0.71,1.86,0.92
Index,Up,2,0.60,0.71,1.36,0.92
Index,Up,3,0.60,0.32,1.36,0.71
Index,Up,4,0.63,0.32,0.60,0.71
Index,Up,5,0.63,0.19,0.60,0.32
Index,Up,6,0.50,0.19,0.63,0.32
Index,Up,7,0.34,0.18,0.50,0.19
Index,Up,8,0.22,0.18,0.34,0.19
Index,Up,9,0.22,0.17,0.34,0.18
Index,Up,10,0.19,0.17,0.22,0.18
Index,Up,1,0.18,0.17,0.19,0.16
Index,Up,2,0.18,0.20,0.19,0.17
Index,Up,3,0.17,0.20,0.18,0.17
Index,Up,4,0.17,0.17,0.18,0.20
Index,Up,5,0.18,0.17,0.17,0.20
Index,Up,6,0.18,0.19,0.17,0.17
Index,Up,7,0.20,0.19,0.18,0.17
Index,Up,8,0.20,0.21,0.18,0.19
Index,Up,9,0.21,0.21,0.20,0.19
Index,Up,10,0.21,0.20,0.20,0.21
Index,Up,1,0.26,0.19,0.27,0.20
Index,Up,2,0.29,0.24,0.26,0.22
Index,Up,3,0.28,0.24,0.29,0.22
Index,Up,4,0.28,0.25,0.29,0.24
Index,Up,5,0.30,0.25,0.28,0.24
Index,Up,6,0.32,0.23,0.28,0.25
Index,Up,7,0.31,0.23,0.32,0.25
Index,Up,8,0.31,0.25,0.32,0.23
Index,Up,9,0.23,0.25,0.31,0.23
Index,Up,10,0.23,0.21,0.31,0.25
Index,Up,1,0.25,0.21,0.23,0.25
Index,Up,2,0.25,0.36,0.23,0.21
Index,Up,3,0.24,0.36,0.25,0.21
Index,Up,4,0.24,0.43,0.25,0.36
Index,Up,5,0.40,0.40,0.24,0.43
Index,Up,6,0.40,0.48,0.24,0.40
Index,Up,7,0.37,0.48,0.40,0.40
Index,Up,8,0.37,0.41,0.40,0.48
Index,Up,9,0.31,0.41,0.37,0.48
Index,Up,10,0.31,0.43,0.37,0.41
Index,Up,1,0.48,0.42,0.31,0.43
Index,Up,2,0.48,0.40,0.31,0.42
Index,Up,3,0.67,0.40,0.48,0.42
Index,Up,4,0.67,0.74,0.48,0.40
Index,Up,5,0.47,0.74,0.67,0.40
Index,Up,6,0.47,0.78,0.67,0.74
Index,Up,7,0.44,0.78,0.47,0.74
Index,Up,8,0.44,0.77,0.47,0.78
Index,Up,9,0.43,0.77,0.44,0.78
Index,Up,10,0.43,0.68,0.44,0.77
Index,Up,1,0.42,0.68,0.43,0.77
Index,Up,2,0.42,0.72,0.43,0.68
Index,Up,3,0.31,0.72,0.42,0.68
Index,Up,4,0.31,0.64,0.42,0.72
Index,Up,5,0.43,0.64,0.31,0.72
Index,Up,6,0.43,0.66,0.31,0.64
Index,Up,7,0.51,0.66,0.43,0.64
Index,Up,8,0.51,0.62,0.43,0.66
Index,Up,9,0.45,0.62,0.51,0.66
Index,Up,10,0.45,0.44,0.51,0.62
Index,Up,1,0.43,0.44,0.45,0.62
Index,Up,2,0.43,0.46,0.45,0.44
Index,Up,3,0.39,0.46,0.43,0.44
Index,Up,4,0.39,0.42,0.43,0.46
Index,Up,5,0.41,0.42,0.39,0.46
Index,Up,6,0.41,0.39,0.39,0.42
Index,Up,7,0.43,0.39,0.41,0.42
Index,Up,8,0.43,0.51,0.41,0.39
Index,Up,9,0.35,0.51,0.43,0.39
Index,Up,10,0.35,0.70,0.43,0.51
Index,Up,1,0.46,0.70,0.35,0.51
Index,Up,2,0.46,0.78,0.35,0.70
Index,Up,3,0.69,0.78,0.46,0.70
Index,Up,4,0.69,0.85,0.46,0.78
Index,Up,5,0.64,0.85,0.69,0.78
Index,Up,6,0.64,0.68,0.69,0.85
Index,Up,7,0.56,0.68,0.64,0.85
Index,Up,8,0.56,0.47,0.64,0.68
Index,Up,9,0.51,0.47,0.56,0.68
Index,Up,10,0.51,0.45,0.56,0.47
Index,Up,1,0.48,0.45,0.51,0.47
Index,Up,2,0.48,0.33,0.51,0.45
Index,Up,3,0.45,0.33,0.48,0.45
Index,Up,4,0.45,0.28,0.48,0.33
Index,Up,5,0.42,0.28,0.45,0.33
Index,Up,6,0.37,0.23,0.42,0.28
Index,Up,7,0.35,0.23,0.37,0.28
Index,Up,8,0.35,0.21,0.37,0.23
Index,Up,9,0.30,0.21,0.35,0.23
Index,Up,10,0.30,0.22,0.35,0.21
Index,Up,1,0.26,0.22,0.30,0.21
Index,Up,2,0.26,0.25,0.30,0.22
Index,Up,3,0.23,0.25,0.26,0.22
Index,Up,4,0.26,0.26,0.23,0.25
Index,Up,5,0.29,0.26,0.26,0.25
Index,Up,6,0.29,0.36,0.26,0.26
Index,Up,7,0.30,0.36,0.29,0.26
Index,Up,8,0.30,0.29,0.29,0.36
Index,Up,9,0.41,0.29,0.30,0.36
Index,Up,10,0.41,0.34,0.30,0.29
Index,Up,1,0.51,0.34,0.41,0.29
Index,Up,2,0.51,0.37,0.41,0.34
Index,Up,3,0.50,0.33,0.51,0.37
Index,Up,4,0.50,0.34,0.51,0.33
Index,Up,5,0.46,0.34,0.50,0.33
Index,Up,6,0.46,0.38,0.50,0.34
Index,Up,7,0.43,0.38,0.46,0.34
Index,Up,8,0.43,0.53,0.46,0.38
Index,Up,9,0.39,0.53,0.43,0.38
Index,Up,10,0.39,0.50,0.43,0.53
Index,Up,1,0.61,0.50,0.39,0.53
Index,Up,2,0.61,0.51,0.39,0.50
Index,Up,3,0.98,0.51,0.61,0.50
Index,Up,4,0.98,0.66,0.61,0.51
Index,Up,5,0.71,0.66,0.98,0.51
Index,Up,6,0.71,0.62,0.98,0.66
Index,Up,7,0.72,0.62,0.71,0.66
Index,Up,8,0.72,0.63,0.71,0.62
Index,Up,9,1.21,0.63,0.72,0.62
Index,Up,10,1.21,0.74,0.72,0.63
Index,Up,1,3.02,0.74,1.21,0.63
Index,Up,2,3.02,1.01,1.21,0.74
Index,Up,3,2.91,0.86,3.02,1.01
Index,Up,4,2.91,0.65,3.02,0.86
Index,Up,5,1.72,0.65,2.91,0.86
Index,Up,6,1.72,0.66,2.91,0.65
Index,Up,7,1.20,0.66,1.72,0.65
Index,Up,8,1.20,0.47,1.72,0.66
Index,Up,9,1.42,0.47,1.20,0.66
Index,Up,10,1.42,0.44,1.20,0.47
Index,Up,1,3.02,0.44,1.42,0.47
Index,Up,2,3.02,1.33,1.42,0.44
Index,Up,3,2.83,1.80,3.02,1.33
Index,Up,4,2.83,1.40,3.02,1.80
Index,Up,5,1.22,1.40,2.83,1.80
Index,Up,6,1.22,0.60,2.83,1.40
Index,Up,7,0.62,0.60,1.22,1.40
Index,Up,8,0.62,0.44,1.22,0.60
Index,Up,9,0.69,0.44,0.62,0.60
Index,Up,10,0.69,0.53,0.62,0.44
Index,Up,1,0.46,0.53,0.69,0.44
Index,Up,2,0.46,0.46,0.69,0.53
Index,Up,3,1.37,0.46,0.46,0.53
Index,Up,4,1.37,0.81,0.46,0.46
Index,Up,5,2.43,0.81,1.37,0.46
Index,Up,6,2.43,1.32,1.37,0.81
Index,Up,7,2.42,1.32,2.43,0.81
Index,Up,8,2.42,1.24,2.43,1.32
Index,Up,9,1.99,1.24,2.42,1.32
Index,Up,10,1.99,1.14,2.42,1.24
Index,Up,1,1.49,1.14,1.99,1.24
Index,Up,2,1.49,0.94,1.99,1.14
Index,Up,3,0.66,0.94,1.49,1.14
Index,Up,4,0.66,0.60,1.49,0.94
Index,Up,5,0.65,0.60,0.66,0.94
Index,Up,6,0.65,0.57,0.66,0.60
Index,Up,7,1.54,0.57,0.65,0.60
Index,Up,8,1.54,0.47,0.65,0.57
Index,Up,9,1.96,0.47,1.54,0.57
Index,Up,10,1.96,0.43,1.54,0.47
Index,Up,1,1.65,0.43,1.96,0.47
Index,Up,2,1.65,0.35,1.96,0.43
Index,Up,3,1.29,0.35,1.65,0.43
Index,Up,4,1.29,0.31,1.65,0.35
Index,Up,5,0.88,0.31,1.29,0.35
Index,Up,6,0.88,0.27,1.29,0.31
Index,Up,7,0.83,0.27,0.88,0.31
Index,Up,8,0.83,0.45,0.88,0.27
Index,Up,9,0.99,0.45,0.83,0.27
Index,Up,10,0.99,0.56,0.83,0.45
Index,Up,1,1.53,0.56,0.99,0.45
Index,Up,2,1.53,0.66,0.99,0.56
Index,Up,3,2.57,0.66,1.53,0.56
Index,Up,4,2.57,1.03,1.53,0.66
Index,Up,5,3.02,1.03,2.57,0.66
Index,Up,6,3.02,1.65,2.57,1.03
Index,Up,7,2.82,1.65,3.02,1.03
Index,Up,8,2.82,1.44,3.02,1.65
Index,Up,9,2.68,1.44,2.82,1.65
Index,Up,10,2.68,1.25,2.82,1.44
Index,Up,1,2.22,1.25,2.68,1.44
Index,Up,2,2.22,1.01,2.68,1.25
Index,Up,3,1.47,1.01,2.22,1.25
Index,Up,4,1.47,0.89,2.22,1.01
Index,Up,5,0.71,0.89,1.47,1.01
Index,Up,6,0.71,0.60,1.47,0.89
Index,Up,7,0.67,0.60,0.71,0.89
Index,Up,8,0.67,0.58,0.71,0.60
Index,Up,9,1.35,0.58,0.67,0.60
Index,Up,10,1.35,0.64,0.67,0.58
Index,Up,1,1.73,0.64,1.35,0.58
Index,Up,2,1.73,0.65,1.35,0.64
Index,Up,3,1.57,0.65,1.73,0.64
Index,Up,4,1.57,0.44,1.73,0.65
Index,Up,5,1.23,0.44,1.57,0.65
Index,Up,6,1.23,0.38,1.57,0.44
Index,Up,7,1.01,0.38,1.23,0.44
Index,Up,8,1.01,0.33,1.23,0.38
Index,Up,9,1.40,0.33,1.01,0.38
Index,Up,10,1.40,0.89,1.01,0.33
Index,Up,1,1.65,0.89,1.40,0.33
Index,Up,2,1.65,0.90,1.40,0.89
Index,Up,3,1.86,0.90,1.65,0.89
Index,Up,4,1.86,0.84,1.65,0.90
Index,Up,5,2.53,0.84,1.86,0.90
Index,Up,6,2.53,1.17,1.86,0.84
Index,Up,7,2.07,1.17,2.53,0.84
Index,Up,8,2.07,0.90,2.53,1.17
Index,Up,9,1.77,0.90,2.07,1.17
Index,Up,10,1.77,0.96,2.07,0.90
Index,Up,1,2.29,0.96,1.77,0.90
Index,Up,2,2.29,1.19,1.77,0.96
Index,Up,3,2.19,1.19,2.29,0.96
Index,Up,4,2.19,1.26,2.29,1.19
Index,Up,5,3.03,1.26,2.19,1.19
Index,Up,6,3.03,1.61,2.19,1.26
Index,Up,7,3.02,1.61,3.03,1.26
Index,Up,8,3.02,1.77,3.03,1.61
Index,Up,9,1.66,1.71,3.02,1.77
Index,Up,10,1.66,1.01,3.02,1.71
Index,Up,1,0.87,1.01,1.66,1.71
Index,Up,2,0.87,0.72,1.66,1.01
Index,Up,3,0.50,0.72,0.87,1.01
Index,Up,4,0.50,0.56,0.87,0.72
Index,Up,5,0.36,0.56,0.50,0.72
Index,Up,6,0.36,0.44,0.50,0.56
Index,Up,7,1.63,0.44,0.36,0.56
Index,Up,8,1.63,0.90,0.36,0.44
Index,Up,9,2.62,0.90,1.63,0.44
Index,Up,10,2.62,1.25,1.63,0.90
Index,Up,1,3.02,1.25,2.62,0.90
Index,Up,2,3.02,1.52,2.62,1.25
Index,Up,3,1.88,1.77,3.02,2.17
Index,Up,4,1.88,1.09,3.02,1.77
Index,Up,5,0.81,1.09,1.88,1.77
Index,Up,6,0.81,0.64,1.88,1.09
Index,Up,7,0.74,0.64,0.81,1.09
Index,Up,8,0.74,0.70,0.81,0.64
Index,Up,9,1.87,0.70,0.74,0.64
Index,Up,10,1.87,0.65,0.74,0.70
Index,Up,1,2.28,0.65,1.87,0.70
Index,Up,2,2.28,0.52,1.87,0.65
Index,Up,3,1.81,0.52,2.28,0.65
Index,Up,4,1.81,0.43,2.28,0.52
Index,Up,5,1.30,0.43,1.81,0.52
Index,Up,6,1.30,0.38,1.81,0.43
Index,Up,7,0.81,0.38,1.30,0.43
Index,Up,8,0.81,0.45,1.30,0.38
Index,Up,9,0.86,0.45,0.81,0.38
Index,Up,10,0.86,0.46,0.81,0.45
Index,Up,1,1.08,0.46,0.86,0.45
Index,Up,2,1.27,0.28,1.08,0.46
Index,Up,3,1.21,0.28,1.27,0.46
Index,Up,4,1.21,0.32,1.27,0.28
Index,Up,5,1.10,0.32,1.21,0.28
Index,Up,6,1.10,0.34,1.21,0.32
Index,Up,7,1.00,0.34,1.10,0.32
Index,Up,8,1.00,0.32,1.10,0.34
Index,Up,9,0.88,0.32,1.00,0.34
Index,Up,10,0.88,0.35,1.00,0.32
Index,Up,1,0.77,0.35,0.88,0.32
Index,Up,2,0.77,0.26,0.88,0.35
Index,Up,3,0.68,0.26,0.77,0.35
Index,Up,4,0.68,0.28,0.77,0.26
Index,Up,5,0.72,0.28,0.68,0.26
Index,Up,6,0.72,0.33,0.68,0.28
Index,Up,7,0.71,0.33,0.72,0.28
Index,Up,8,0.67,0.34,0.71,0.33
Index,Up,9,0.64,0.43,0.67,0.34
Index,Up,10,0.64,0.51,0.67,0.43
Index,Up,1,0.58,0.51,0.64,0.43
Index,Up,2,0.58,0.50,0.64,0.51
Index,Up,3,0.59,0.50,0.58,0.51
Index,Up,4,0.59,0.48,0.58,0.50
Index,Up,5,0.64,0.48,0.59,0.50
Index,Up,6,0.66,0.43,0.64,0.48
Index,Up,7,0.65,0.43,0.66,0.48
